index,date,secPrecipBulk,year
1643,2021-08-09,0.0,2021.0
1644,2021-08-10,1.509,2021.0
1645,2021-08-11,0.0,2021.0
1646,2021-08-12,2.011,2021.0
1647,2021-08-13,0.0,2021.0
1648,2021-08-14,0.0,2021.0
1649,2021-08-15,0.0,2021.0
1650,2021-08-16,0.0,2021.0
1651,2021-08-17,0.0,2021.0
1652,2021-08-18,0.0,2021.0
1653,2021-08-19,21.108999999999998,2021.0
1654,2021-08-20,9.049,2021.0
1655,2021-08-21,0.0,2021.0
1656,2021-08-22,14.579,2021.0
1657,2021-08-23,25.630999999999997,2021.0
1658,2021-08-24,3.017,2021.0
1659,2021-08-25,0.0,2021.0
1660,2021-08-26,0.0,2021.0
1661,2021-08-27,0.503,2021.0
1662,2021-08-28,0.0,2021.0
1663,2021-08-29,0.0,2021.0
1664,2021-08-30,5.026,2021.0
1665,2021-08-31,0.0,2021.0
1666,2021-09-01,12.062999999999999,2021.0
1667,2021-09-02,74.376,2021.0
1668,2021-09-03,0.0,2021.0
1669,2021-09-04,0.0,2021.0
1670,2021-09-05,2.515,2021.0
1671,2021-09-06,1.006,2021.0
1672,2021-09-07,0.0,2021.0
1673,2021-09-08,0.0,2021.0
1674,2021-09-09,7.039,2021.0
1675,2021-09-10,11.056999999999999,2021.0
1676,2021-09-11,0.0,2021.0
1677,2021-09-12,0.0,2021.0
1678,2021-09-13,6.0329999999999995,2021.0
1679,2021-09-14,0.0,2021.0
1680,2021-09-15,4.022,2021.0
1681,2021-09-16,5.529999999999999,2021.0
1682,2021-09-17,0.0,2021.0
1683,2021-09-18,0.0,2021.0
1684,2021-09-19,0.0,2021.0
1685,2021-09-20,0.0,2021.0
1686,2021-09-21,0.0,2021.0
1687,2021-09-22,0.0,2021.0
1688,2021-09-23,0.0,2021.0
1689,2021-09-24,0.0,2021.0
1690,2021-09-25,0.0,2021.0
1691,2021-09-26,0.0,2021.0
1692,2021-09-27,0.0,2021.0
1693,2021-09-28,0.0,2021.0
1694,2021-09-29,0.0,2021.0
1695,2021-09-30,0.0,2021.0
1696,2021-10-01,0.0,2021.0
1697,2021-10-02,0.0,2021.0
1698,2021-10-03,0.509,2021.0
1699,2021-10-04,38.188,2021.0
1700,2021-10-05,17.823,2021.0
1701,2021-10-06,0.0,2021.0
1702,2021-10-07,0.0,2021.0
1703,2021-10-08,0.0,2021.0
1704,2021-10-09,0.0,2021.0
1705,2021-10-10,0.0,2021.0
1706,2021-10-11,0.0,2021.0
1707,2021-10-12,0.0,2021.0
1708,2021-10-13,0.0,2021.0
1709,2021-10-14,0.0,2021.0
1710,2021-10-15,0.0,2021.0
1711,2021-10-16,0.0,2021.0
1712,2021-10-17,12.219,2021.0
1713,2021-10-18,0.0,2021.0
1714,2021-10-19,0.0,2021.0
1715,2021-10-20,0.0,2021.0
1716,2021-10-21,0.0,2021.0
1717,2021-10-22,0.0,2021.0
1718,2021-10-23,0.0,2021.0
1719,2021-10-24,0.0,2021.0
1720,2021-10-25,12.729,2021.0
1721,2021-10-26,12.217,2021.0
1722,2021-10-27,14.253,2021.0
1723,2021-10-28,0.509,2021.0
1724,2021-10-29,0.0,2021.0
1725,2021-10-30,15.274,2021.0
1726,2021-10-31,22.913,2021.0
1727,2021-11-01,0.0,2021.0
1728,2021-11-02,0.0,2021.0
1729,2021-11-03,0.509,2021.0
1730,2021-11-04,0.0,2021.0
1731,2021-11-05,0.0,2021.0
1732,2021-11-06,0.0,2021.0
1733,2021-11-07,0.0,2021.0
1734,2021-11-08,0.0,2021.0
1735,2021-11-09,0.0,2021.0
1736,2021-11-10,0.0,2021.0
1737,2021-11-11,0.0,2021.0
1738,2021-11-12,45.831,2021.0
1739,2021-11-13,10.693,2021.0
1740,2021-11-14,0.509,2021.0
1741,2021-11-15,1.5270000000000001,2021.0
1742,2021-11-16,0.0,2021.0
1743,2021-11-17,0.0,2021.0
1744,2021-11-18,0.0,2021.0
1745,2021-11-19,6.1080000000000005,2021.0
1746,2021-11-20,0.0,2021.0
1747,2021-11-21,0.0,2021.0
1748,2021-11-22,4.581,2021.0
1749,2021-11-23,0.0,2021.0
1750,2021-11-24,0.0,2021.0
1751,2021-11-25,0.0,2021.0
1752,2021-11-26,3.563,2021.0
1753,2021-11-27,3.0540000000000003,2021.0
1754,2021-11-28,0.0,2021.0
1755,2021-11-29,0.0,2021.0
1756,2021-11-30,0.0,2021.0
1757,2021-12-01,0.0,2021.0
1758,2021-12-02,3.0540000000000003,2021.0
1759,2021-12-03,2.546,2021.0
1760,2021-12-04,0.0,2021.0
1761,2021-12-05,0.0,2021.0
1762,2021-12-06,4.072,2021.0
1763,2021-12-07,5.6000000000000005,2021.0
1764,2021-12-08,0.0,2021.0
1765,2021-12-09,1.018,2021.0
1766,2021-12-10,0.0,2021.0
1767,2021-12-11,18.331,2021.0
1768,2021-12-12,8.655999999999999,2021.0
1769,2021-12-13,0.0,2021.0
1770,2021-12-14,0.0,2021.0
1771,2021-12-15,0.0,2021.0
1772,2021-12-16,12.221,2021.0
1773,2021-12-17,0.0,2021.0
1774,2021-12-18,5.599,2021.0
1775,2021-12-19,6.1080000000000005,2021.0
1776,2021-12-20,0.0,2021.0
1777,2021-12-21,0.0,2021.0
1778,2021-12-22,13.237,2021.0
1779,2021-12-23,0.0,2021.0
